xx 2000 IAU Theory of Nutation (106 term) (Sorted for largest A terms)
xx   a2  a3  a4  a5      A       B       C       D    E    F         #  all are 0.0001"
  0   0   0   0   1 -171996     -84.2  92025    8.9  5173.2 1529.9   1
  1  -1   2   0   2      -3        0       1      0      0      0     68
  3   0   2   0   2      -3        0       1      0      0      0     71
 -2   0   2   0   2      -3        0       1      0      0      0      5
  1   0   2   0   0       3        0       0      0      0      0     67
 -1   0   2   4   2      -2        0       1      0      0      0     82
  1   0   0   0   2      -2        0       1      0      0      0     76
 -1   0   2  -2   1      -2        0       1      0      0      0     74
  0  -2   2  -2   1      -2        0       1      0      0      0      7
 -2   0   0   0   1      -2        0       1      0      0      0     70
  2   0   0   0   1       2        0      -1      0      0      0     75
  3   0   0   0   0       2        0       0      0      0      0     77
  1   1   2   0   2       2        0      -1      0      0      0     73
  0   0   2   1   2       2        0      -1      0      0      0     78
  1   0   0   2   1      -1        0       0      0      0      0     91
  1   0   2   2   1      -1        0       1      0      0      0     85
  1   1   0  -2   1      -1        0       0      0      0      0    102
  0   1   0   2   0      -1        0       0      0      0      0     99
  0   1   2  -2   0      -1        0       0      0      0      0     30
  0   1  -2   2   0      -1        0       0      0      0      0     27
  1   0  -2   2   0      -1        0       0      0      0      0    103
  1   0  -2  -2   0      -1        0       0      0      0      0    100
  1   0   2  -2   0      -1        0       0      0      0      0     94
  1   0   0  -4   0      -1        0       0      0      0      0     80
  2   0   0  -4   0      -1        0       0      0      0      0     83
  0   0   2   4   2      -1        0       0      0      0      0    105
  0   0   2  -1   2      -1        0       0      0      0      0     98
 -2   0   2   4   2      -1        0       1      0      0      0     86
  2   0   2   2   2      -1        0       0      0      0      0     90
  0  -1   2   0   1      -1        0       0      0      0      0    101
  0   0  -2   0   1      -1        0       0      0      0      0     97
  0   0   4  -2   2       1        0       0      0      0      0     92
  0   1   0   0   2       1        0       0      0      0      0     28
  1   1   2  -2   2       1        0      -1      0      0      0     84
  3   0   2  -2   2       1        0       0      0      0      0     93
 -2   0   2   2   2       1        0      -1      0      0      0     81
 -1   0   0   0   2       1        0      -1      0      0      0     79
  0   0  -2   2   1       1        0       0      0      0      0     26
  0   1   2   0   1       1        0       0      0      0      0     95
 -1   0   4   0   2       1        0       0      0      0      0     87
  2   1   0  -2   0       1        0       0      0      0      0     25
  2   0   0   2   0       1        0       0      0      0      0    104
  2   0   2  -2   1       1        0      -1      0      0      0     89
  2   0  -2   0   1       1        0       0      0      0      0      8
  1  -1   0  -2   0       1        0       0      0      0      0     88
 -1   0   0   1   1       1        0       0      0      0      0     29
 -1  -1   0   2   1       1        0       0      0      0      0     96
  0   1   0   1   0       1        0       0      0      0      0    106     0   0   2  -2   3      -1.2      0       0      0                 xx
xx 1980 IAU Theory of Nutation (106 term) (Sorted for largest A terms)
xx  a2 a3 a4 a5    A      B     C     D      #    All are 0.0001"
 0  0  0  0  1 -171996 -174.2 92025  8.9    1
 0  0  2 -2  2  -13187   -1.6  5736 -3.1    9
 0  0  2  0  2   -2274   -0.2   977 -0.5   31
 0  0  0  0  2    2062    0.2  -895  0.5    2
 0  1  0  0  0    1426   -3.4    54 -0.1   10
 1  0  0  0  0     712    0.1    -7   0    32
 0  1  2 -2  2    -517    1.2   224 -0.6   11
 0  0  2  0  1    -386   -0.4   200   0    33
 1  0  2  0  2    -301     0    129 -0.1   34
 0 -1  2 -2  2     217   -0.5   -95  0.3   12
 1  0  0 -2  0    -158     0     -1   0    35
 0  0  2 -2  1     129    0.1   -70   0    13
-1  0  2  0  2     123     0    -53   0    36
 1  0  0  0  1      63    0.1   -33   0    38
 0  0  0  2  0      63     0     -2   0    37
-1  0  2  2  2     -59     0     26   0    40
-1  0  0  0  1     -58   -0.1    32   0    39
 1  0  2  0  1     -51     0     27   0    41
 2  0  0 -2  0      48     0      1   0    14
-2  0  2  0  1      46     0    -24   0     3
 0  0  2  2  2     -38     0     16   0    42
 2  0  2  0  2     -31     0     13   0    45
 2  0  0  0  0      29     0     -1   0    43
 1  0  2 -2  2      29     0    -12   0    44
 0  0  2  0  0      26     0     -1   0    46
 0  0  2 -2  0     -22     0      0   0    15
-1  0  2  0  1      21     0    -10   0    47
 0  2  0  0  0      17   -0.1     0   0    16
 0  2  2 -2  2     -16    0.1     7   0    18
-1  0  0  2  1      16     0     -8   0    48
 0  1  0  0  1     -15     0      9   0    17
 1  0  0 -2  1     -13     0      7   0    49
 0 -1  0  0  1     -12     0      6   0    19
 2  0 -2  0  0      11     0      0   0     4
-1  0  2  2  1     -10     0      5   0    50
 1  0  2  2  2      -8     0      3   0    54
 0 -1  2  0  2      -7     0      3   0    53
 0  0  2  2  1      -7     0      3   0    58
 1  1  0 -2  0      -7     0      0   0    51
 0  1  2  0  2       7     0     -3   0    52
-2  0  0  2  1      -6     0      3   0    20
 0  0  0  2  1      -6     0      3   0    57
 2  0  2 -2  2       6     0     -3   0    56
 1  0  0  2  0       6     0      0   0    55
 1  0  2 -2  1       6     0     -3   0    58
 0  0  0 -2  1      -5     0      3   0    60
 0 -1  2 -2  1      -5     0      3   0    21
 2  0  2  0  1      -5     0      3   0    62
 1 -1  0  0  0       5     0      0   0    61
 1  0  0 -1  0      -4     0      0   0    24
 0  0  0  1  0      -4     0      0   0    65
 0  1  0 -2  0      -4     0      0   0    63
 1  0 -2  0  0       4     0      0   0    64
 2  0  0 -2  1       4     0     -2   0    22
 0  1  2 -2  1       4     0     -2   0    23
 1  1  0  0  0      -3     0      0   0    66
 1 -1  0 -1  0      -3     0      0   0     6
-1 -1  2  2  2      -3     0      1   0    69
 0 -1  2  2  2      -3     0      1   0    72
 1 -1  2  0  2      -3     0      1   0    68
 3  0  2  0  2      -3     0      1   0    71
-2  0  2  0  2      -3     0      1   0     5
 1  0  2  0  0       3     0      0   0    67
-1  0  2  4  2      -2     0      1   0    82
 1  0  0  0  2      -2     0      1   0    76
-1  0  2 -2  1      -2     0      1   0    74
 0 -2  2 -2  1      -2     0      1   0     7
-2  0  0  0  1      -2     0      1   0    70
 2  0  0  0  1       2     0     -1   0    75
 3  0  0  0  0       2     0      0   0    77
 1  1  2  0  2       2     0     -1   0    73
 0  0  2  1  2       2     0     -1   0    78
 1  0  0  2  1      -1     0      0   0    91
 1  0  2  2  1      -1     0      1   0    85
 1  1  0 -2  1      -1     0      0   0   102
 0  1  0  2  0      -1     0      0   0    99
 0  1  2 -2  0      -1     0      0   0    30
 0  1 -2  2  0      -1     0      0   0    27
 1  0 -2  2  0      -1     0      0   0   103
 1  0 -2 -2  0      -1     0      0   0   100
 1  0  2 -2  0      -1     0      0   0    94
 1  0  0 -4  0      -1     0      0   0    80
 2  0  0 -4  0      -1     0      0   0    83
 0  0  2  4  2      -1     0      0   0   105
 0  0  2 -1  2      -1     0      0   0    98
-2  0  2  4  2      -1     0      1   0    86
 2  0  2  2  2      -1     0      0   0    90
 0 -1  2  0  1      -1     0      0   0   101
 0  0 -2  0  1      -1     0      0   0    97
 0  0  4 -2  2       1     0      0   0    92
 0  1  0  0  2       1     0      0   0    28
 1  1  2 -2  2       1     0     -1   0    84
 3  0  2 -2  2       1     0      0   0    93
-2  0  2  2  2       1     0     -1   0    81
-1  0  0  0  2       1     0     -1   0    79
 0  0 -2  2  1       1     0      0   0    26
 0  1  2  0  1       1     0      0   0    95
-1  0  4  0  2       1     0      0   0    87
 2  1  0 -2  0       1     0      0   0    25
 2  0  0  2  0       1     0      0   0   104
 2  0  2 -2  1       1     0     -1   0    89
 2  0 -2  0  1       1     0      0   0     8
 1 -1  0 -2  0       1     0      0   0    88
-1  0  0  1  1       1     0      0   0    29
-1 -1  0  2  1       1     0      0   0    96
 0  1  0  1  0       1     0      0   0   106
xx 1996 IAU Theory of Nutation (263 term) (Sorted for largest A terms)
xx   a2  a3  a4  a5      A       B       C     D    E    F        #  all are 0.001 mas or (0.000001")
  0   0   0   0   1 -17206262 -17419 9205348  886  3608 1543      1
  0   0   2  -2   2  -1317015   -156  573059 -306 -1398 -463      2
  0   0   2   0   2   -227718    -23   97864  -48   288  145      3
  0   0   0   0   2    207428     21  -89746   47   -71  -29      4
  0   1   0   0   0    147545   -364    7390  -19  1121 -198      5
  0   1   2  -2   2    -51687    123   22440  -68   -54  -18      6
  0   0   2   0   1    -38752    -37   20076    2    37   34      8
  1   0   2   0   2    -30136     -4   12896   -6    81   37      9
  1   0   0   0   0     71118      7    -687    0   -98   39      7
  0  -1   2  -2   2     21583    -49   -9591   30     6   12     10
 -1   0   0   2   0     15700      1    -127    0   -19    9     13
  0   0   2  -2   1     12820     14   -6897   -1    18    4     11
 -1   0   2   0   2     12353      1   -5333    3     1   -1     12
 -1   0   2   2   2     -5965     -1    2554   -1    15    7     16
 -1   0   0   0   1     -5797     -6    3141    0   -19   -8     15
  1   0   2   0   1     -5163     -4    2635    0    12    8     17
 -2   0   0   2   0     -4774      0      48    0    -2   -3     21
  0   0   2   2   2     -3854      0    1643    0    15    7     20
  2   0   2   0   2     -3102      0    1322   -1    13    6     22
  0   2   2  -2   2     -1578      7     685   -4    -2   -1     29
  0   1   0   0   1     -1406     -3     857    0     8   -4     27
  1   0   0  -2   1     -1286     -1     694    0    -4   -2     31
  0  -1   0   0   1     -1269      1     642    1     6    2     32
 -2   0   2   0   0     -1102      0      10    0    -1    0     36
 -1   0   2   2   1     -1022     -1     522    0     2    2     33
  0   0   0   2   0      6336      1    -125    0   -16    3     19
  1   0   0   0   1      6314      6   -3323    0     3   -1     14
 -2   0   2   0   1      4590      5   -2424   -1     1    1     18
  2   0   0   0   0      2923      0     -62    0    -8    1     25
  1   0   2  -2   2      2863      0   -1234    1     0    0     23
  0   0   2   0   0      2585      0     -56    0    -7    1     26
  0   0  -2   2   0      2178      0     -15    0     1    1     30
 -1   0   2   0   1      2044      2   -1076    0     1    0     24
  0   2   0   0   0      1671     -8      14    0    -1    1     34
 -1   0   0   2   1      1517      1    -801    0     1    0     28
  1   0   2   2   2      -768      0     325    0     4    2     35
  0  -1   2   0   2      -714      2     307    2     1    0     39
  0   0   2   2   1      -664     -1     335   -1     2    1     38
  0   0   0   2   1      -631     -1     327    0     0    0     40
 -2   0   0   2   1      -579     -1     304    0    -1    0     43
  2   0   2   0   1      -533      0     269    0     2    1     44
  0   0   0  -2   1      -493     -1     272    0    -2   -1     46
  0  -1   2  -2   1      -477     -1     271   -1     0    0     45
  0   0   0   1   0      -422      0       3    0     1    0     57
 -1   0   2   0   0      -404      0       4    0     1    0     58
  1   1   0   0   0      -338      0       4    0     0    0     64
 -2   0   2   0   2      -311      0     131    0     0    0     52
  3   0   2   0   2      -289      0     124    0     2    1     53
  1  -1   2   0   2      -287      0     123    0     1    0     55
 -1  -1   2   2   2      -282      0     122    0     1    0     56
  0  -1   2   2   2      -264      0     114    0     1    0     58
 -2   0   0   0   1      -228      0     126    0    -1    0     60
 -1   0   2  -2   1      -199      0     107    0    -1    0     66
  1   0   0   0   2      -197      0      85    0     0    0     67
 -1   0   2   4   2      -151      0      66    0     1    0     70
  1   0   2   2   1      -133      0      66    0     1    0     73
  0  -2   2  -2   1      -130      0      69    0     0    0     71
 -2   0   2   4   2      -121      0      52    0     0    0     77
 -2  -1   0   2   0      -115      0       1    0     0    0     92
  2   0   2   2   2      -108      0      47    0     1    0     80
  0   1   2   0   2       757     -2    -326   -2    -1   -1     37
 -1  -1   0   2   0       735      0      -5    0    -1    0     47
  1   0   0   2   0       657      0     -20    0    -2    0     49
  2   0   2  -2   2       643      0    -277    0    -1    0     42
  1   0   2  -2   1       580      1    -307    0     0    0     41
  1  -1   0   0   0       471      0      -4    0    -1    0     51
  0  -1   0   2   0       435      0      -9    0    -1    0     54
  2   0   0  -2   1       405      0    -220    0     1    0     48
 -1   0   0   1   0       405      0     -55    0   -35  -14     68
  0   1   2  -2   1       361      0    -194    0     1    0     50
  1   0   2   0   0       334      0     -11    0    -1    0     65
 -1   1   0   1   0       327      0      -1    0     0    0     63
  1   1   2   0   2       246      0    -106    0    -1    0     61
  2   0   0   0   1       218      0    -114    0     0    0     62
  0   0   2   1   2       165      0     -72    0     0    0     69
  3   0   0   0   0       157      0      -5    0    -1    0     82
 -2   0   2   2   2       139      0     -60    0     0    0     74
 -1   0   0   0   2       139      0     -60    0     0    0     75
 -1   0   0   4   0       133      0      -4    0     0    0     88
 -1   1   0   1   1       132      0     -68    0     0    0     72
  1   1   2  -2   2       128      0     -55    0     0    0     76
 -2   0   0   4   0       128      0       1    0     0    0     90
  0   0   2  -2   3       123      0     -20    0     0    0     87
 -1   0   4   0   2       115      0     -49    0     0    0     78
  2   0   2  -2   1       101      0     -54    0     0    0     79
 -1   0   0   1   1       101      0     -49    0    -3   -1     94
  1   0   0   2   1       -95      0      49    0     0    0     81
 -1   1   0   2   0       -94      0       0    0     0    0    100
  0   1  -2   2   0       -90      0       3    0     0    0    103
  0   0   2  -1   2       -74      0      31    0     0    0     97
  0   0   2   4   2       -69      0      29    0     0    0     98
  0   0  -2   0   1       -68      0      36    0     0    0     95
  0   1   0   2   0       -67      0       0    0     0    0    117
  0  -1   2   0   1       -66      0      35    0     0    0     93
  1   1   0  -2   1       -61      0      32    0     0    0     99
  1  -1   2   2   2       -59      0      25    0     0    0    101
  1   0  -2   2   0       -58      0       0    0     0    0    126
 -1   1   0   1   2       -52      0      23    0     0    0    108
  3   0   2   0   1       -50      0      25    0     0    0    104
 -1   0   0  -2   1       -50      0      27    0     0    0    107
  2  -1   2   0   2       -48      0      21    0     0    0    114
  1   0   2  -4   1       -47      0      24    0     0    0    110
 -1  -1   2   2   1       -46      0      24    0     0    0    112
  0   0   0   2   2       -46      0      20    0     0    0    116
  0  -1   2   2   1       -44      0      24    0     0    0    109
  0   3   2  -2   2       -44      0      19    0     0    0    119
  1  -1   2   0   1       -42      0      22    0     0    0    115
 -1   0   0   2   2       -38      0      17    0     0    0    129
  0   0   0   1   1       -37      0      20    0     0    0    121
  1   1   0   0   1       -34      0      19    0     0    0    127
  0   1   0  -2   1       -33      0      18    0     0    0    131
  1   0   2  -1   2       -33      0      13    0     0    0    138
  1   0   0   1   0       -33      0       0    0     0    0    157
 -1   1   0   0   1       -31      0      17    0     0    0    133
  2   1   0   0   0       -28      0       0    0     0    0    162
 -1   0   2   4   1       -26      0      13    0     0    0    140
  4   0   2   0   2       -26      0      11    0     0    0    145
  0   1   2   1   2       -24      0      10    0     0    0    146
 -1   0   2  -1   1       -23      0      14    0     0    0    143
  0   0   0   0   3       -22      0      10    0     0    0    152
 -2   2   0   2   0       -22      0       0    0     0    0    170
 -2   0   2   4   1       -20      0      10    0     0    0    155
  0   0   2  -3   2       -20      0       8    0     0    0    160
  2   0   2   2   1       -19      0      10    0     0    0    154
 -1   0   0   4   1       -18      0       9    0     0    0    158
 -1  -1   2   4   2       -17      0       7    0     0    0    164
  0   0   2  -4   1       -16      0       9    0     0    0    163
  0   0   0   4   1       -16      0       7    0     0    0    166
  1   0   2   4   2       -16      0       7    0     0    0    168
 -1  -1   2   0   2       -16      0       6    0     0    0    180
  0  -1   0   2   1       -14      0       7    0     0    0    167
 -3   0   0   0   1       -14      0       7    0     0    0    172
  3   0   2   2   2       -14      0       0    0     0    0    198
 -2  -1   0   2   1       -13      0       7    0     0    0    181
  0  -2   2   2   2       -13      0       5    0     0    0    183
  0   0   2   4   1       -12      0       6    0     0    0    174
  1   0   0  -4   1       -12      0       6    0     0    0    184
 -2  -1   2   4   2       -12      0       0    0     0    0    212
  2   0   0  -4   1       -11      0       5    0     0    0    191
 -1   1   2  -2   1       -11      0       5    0     0    0    195
  2   0   0  -2   2       -11      0       0    0     0    0    204
 -1   1   0   2   1       -10      0       6    0     0    0    185
  0   0   2  -1   1       -10      0       5    0     0    0    187
 -1   0  -2   0   1       -10      0       5    0     0    0    193
  1   1   0   2   0       -10      0       0    0     0    0    203
 -1   0   0   3   0       -10      0       0    0     0    0    208
  3   0   2  -2   2        94      0     -40    0     0    0     83
  0   0   4  -2   2        91      0     -39    0     0    0     84
  0   0  -2   2   1        87      0     -44    0     0    0     85
  0   1   2   0   1        81      0     -42    0     0    0     86
 -1   0  -2   2   0        77      0       0    0     0    0    111
 -1  -1   0   2   1        75      0     -39    0     0    0     91
  2   0  -2   0   1        71      0     -38    0     0    0     89
  0   1   0   0   2        69      0     -33    0    -1    0     96
  0  -1  -2   2   0        66      0       0    0     0    0    120
 -1   0   2   2   0        64      0       1    0     0    0    122
  0  -1   0   0   2        59      0     -25    0     0    0    113
  2   0   0   2   0        59      0       1    0     0    0    128
  0   1   0   1   0        57      0       0    0     0    0    125
 -1   1   2   2   2        56      0     -24    0     0    0    105
  0   1   2   2   2        54      0     -22    0     0    0    106
  1  -1   0   0   1        51      0     -27    0     0    0    102
  0   0   0   4   0        48      0       1    0     0    0    135
  1  -1   0   2   0        48      0       0    0     0    0    139
 -1   1   2   0   2        47      0     -20    0     0    0    118
  0   0   2   2   0        41      0       1    0     0    0    141
  2   1   2   0   2        40      0     -17    0     0    0    124
  2  -1   0   0   0        38      0       0    0     0    0    149
  1   1   2   0   1        36      0     -18    0     0    0    123
 -1   0   2  -2   2        36      0     -16    0     0    0    132
  2   0   2   0   0        36      0       1    0     0    0    147
  0   0   0  -1   1        33      0     -18    0     0    0    130
  1   0   2   1   2        33      0     -14    0     0    0    134
  1   0   0  -2   2        32      0     -14    0     0    0    137
  0   0   2   1   1        27      0     -14    0     0    0    136
  1   0  -2   0   1        27      0     -14    0     0    0    142
 -1  -2   0   2   0        27      0       0    0     0    0    165
  2   1   2  -2   2        25      0     -10    0     0    0    148
  1   1   2  -2   1        23      0     -12    0     0    0    144
  1   0   4  -2   2        23      0      -9    0     0    0    153
 -2   0   2   2   1        22      0     -11    0     0    0    151
 -1  -1   0   0   1        21      0     -12    0     0    0    150
  0  -2   0   2   0        21      0       0    0     0    0    176
  0   0   2   0   3        20      0       0    0     0    0    173
 -1   0   4   0   1        19      0      -9    0     0    0    158
  0   0   4   0   2        19      0      -8    0     0    0    161
  0   1   0   2   1        18      0      -9    0     0    0    156
 -2   0   0   2   2        18      0      -8    0     0    0    169
  1   0   0  -1   1        17      0      -5    0    -3    1    177
 -3   0   0   4   0        16      0       0    0     0    0    197
  1   1   2   2   2        15      0      -6    0     0    0    178
 -1  -1   0   4   0        15      0       0    0     0    0    196
  0   0   0  -2   2        13      0      -5    0     0    0    182
  0   0   4  -2   1        12      0      -7    0     0    0    175
  3   0   2  -2   1        12      0      -7    0     0    0    179
  4   0   2  -2   2        12      0       0    0     0    0    207
 -2  -1   0   4   0        12      0       0    0     0    0    211
 -2   0   0   4   1        11      0      -6    0     0    0    186
  2   0   2  -4   1        10      0      -5    0     0    0    192
  0   2   0   0   1        -9      0       5    0     0    0    188
  2   0   0   2   1        -9      0       5    0     0    0    190
  0   2  -2   2   0        -9      0       0    0     0    0    200
  0  -1   2   4   2        -9      0       0    0     0    0    201
  2  -1   2   2   2        -9      0       0    0     0    0    205
 -1   0   4  -2   2        -9      0       0    0     0    0    209
 -1  -2   2   2   2        -9      0       0    0     0    0    210
  0  -2   2   0   2        -8      0       0    0     0    0    215
  1  -1   2   2   1        -8      0       0    0     0    0    219
  2   0   0   0   2        -8      0       0    0     0    0    222
 -1   2   0   2   0        -8      0       0    0     0    0    229
 -2   0   2  -2   1        -8      0       0    0     0    0    231
 -3   0   2   0   1        -8      0       0    0     0    0    235
  1  -1   2  -2   2        -7      0       0    0     0    0    220
 -1   0  -2   4   0        -7      0       0    0     0    0    227
 -2   0   4   0   2        -7      0       0    0     0    0    232
  1   0  -2   1   0        -7      0       0    0     0    0    242
  0  -2   0   0   1        -6      0       0    0     0    0    239
  1   0   2  -3   2        -6      0       0    0     0    0    241
  2   0   2  -1   2        -6      0       0    0     0    0    245
  2  -1   2   0   1        -6      0       0    0     0    0    247
 -1  -1   2   0   1        -6      0       0    0     0    0    251
 -2   0   2   2   0        -6      0       0    0     0    0    255
  3  -1   2   0   2        -5      0       0    0     0    0    250
 -2   0   0   3   0        -5      0       0    0     0    0    253
 -2   0   0  -2   1        -5      0       0    0     0    0    254
 -2  -1   2   0   0        -5      0       0    0     0    0    256
 -2  -1   2   0   1         9      0      -5    0     0    0    171
 -1   1   2   0   1         9      0      -5    0     0    0    194
 -2   1   0   2   0         9      0       1    0    -1    0    199
  0  -1   2  -1   2         9      0       0    0     0    0    202
  4   0   0   0   0         9      0       0    0     0    0    206
 -2   1   2   0   1         9      0       0    0     0    0    234
  0   2   2  -2   1         8      0      -5    0     0    0    189
  1   0   0   4   0         8      0       0    0     0    0    216
  1   0   2   2   0         8      0       0    0     0    0    217
  1  -2   0   0   0         8      0       0    0     0    0    221
  2   1   0  -2   1         8      0       0    0     0    0    223
 -1   0   2   1   2         8      0       0    0     0    0    225
 -1   0   2   3   2         8      0       0    0     0    0    226
 -2   0  -2   2   0         8      0       0    0     0    0    233
  0   1   2   2   1         7      0       0    0     0    0    213
  0   2   2   0   2         7      0       0    0     0    0    214
  1   0   2  -4   2         7      0       0    0     0    0    218
  3   0   0   0   1         7      0       0    0     0    0    224
 -1   1   2   2   1         7      0       0    0     0    0    228
 -1  -1   2  -1   1         7      0       0    0     0    0    230
  0  -1   0   4   0         6      0       0    0     0    0    237
  1  -1   0  -2   1         6      0       0    0     0    0    244
 -2   0   0   0   2         6      0       0    0     0    0    252
 -2  -1   2   2   2         6      0       0    0     0    0    257
  0   1   0   1   1         5      0       0    0     0    0    236
  0  -1   0  -2   1         5      0       0    0     0    0    238
  1   0   2   1   1         5      0       0    0     0    0    240
  1   1   0   1   0         5      0       0    0     0    0    243
  2   1   2   0   1         5      0       0    0     0    0    246
  2  -1   2  -2   2         5      0       0    0     0    0    248
  3   0   0   2   0         5      0       0    0     0    0    249
  0   0   1   0   0         0      0       0    0     8    0    258
  0   0   1   0   1         0      0       0    0   -16  -14    258
 -1   0   1   0   0         0      0       0    0    33    0    260
 -1   0   1   0   1         0      0       0    0  -105  -89    261
 -1   0   1   0   2         0      0       0    0    36   18    262
 -1   0   1   0   3         0      0       0    0    -6    0    263
xx 1950 IAU Theory of Nutation (69 term) (Sorted for largest A terms)
xx  a2 a3 a4 a5    A      B     C     D      #
 0  0  0  0  1 -172327 -173.7 92100  9.1     1
 0  0  2 -2 -2  -12729   -1.3  5522 -2.9     8
 0  0  2  0  2   -2037   -0.2   884 -0.5    24
 0  0  0  0  2    2088    0.2  -904  0.4     2
 0  1  0  0  0    1261   -3.1     0   0      9
 0  1  2 -2  2    -497    1.2   216 -0.6    10
 0  0  2  0  1    -342   -0.4   183   0     26
 1  0  2  0  2    -261     0    113 -0.1    27
 1  0  0 -2  0    -149     0      0   0     28
 1  0  0  0  0     675    0.1     0   0     25
 0 -1  2 -2  2     214   -0.5   -93  0.3    11
 0  0  2 -2  1     124    0.1   -66   0     12
-1  0  2  0  2     114     0    -50   0     29
-1  0  0  0  1     -57     0     30   0     32
-1  0  2  2  2     -52     0     22   0     33
 1  0  2  0  1     -44     0     23   0     34
 0  0  2  2  2     -32     0     14   0     35
 2  0  2  0  2     -26     0     11   0     38
 0  0  2 -2  0     -21     0      0   0     14
 0  1  0  0  1     -15     0      8   0     16
 0  2  2 -2  2     -15    0.1     7   0     17
 1  0  0 -2  1     -13     0      7   0     42
 0 -1  0  0  1     -10     0      5   0     18
 0  0  0  2  0      60     0      0   0     30
 1  0  0  0  1      58     0    -31   0     31
-2  0  2  0  1      45     0    -24   0      3
 2  0  0 -2  0      45     0      0   0     13
 2  0  0  0  0      28     0      0   0     36
 1  0  2 -2  2      26     0    -11   0     37
 0  0  2  0  0      25     0      0   0     39
-1  0  2  0  1      19     0    -10   0     40
 0  2  0  0  0      16   -0.1     0   0     15
-1  0  0  2  1      14     0     -7   0     41
 2  0 -2  0  0      10     0      0   0      4
-1  0  2  2  1      -9     0      5   0     43
 1  1  0 -2  0      -7     0      0   0     44
 0  0  0  2  1      -6     0      3   0     47
 0 -1  2  0  2      -6     0      3   0     48
 1  0  2  2  2      -6     0      3   0     49
-2  0  0  2  1      -5     0      3   0     19
 0 -1  2 -2  1      -5     0      3   0     20
