xx  Planetary data for 1996 IAU Theory of Nutation
xx    a2  a3  a4  a5  a6  a7  a8  a9  a10  A     B    C   D
  2    0   -2   0   0   -6     8    0   0   0    -1   0    0   0    32  17496
  0    0    0   0   0    7    -9    0   0   0     1   0    0   0    33    154
  0    0    0   0   0    8   -10    0   0   0    -1   0    0   0    34    122
  0    0    0   0   0    8   -15    0   0   0    -1  -1    0   0    35    183
  0    0    0   0   0    8   -13    0   0   0     3  -4    0   0    36  87265
  0    0    0   1   0    8   -13    0   0   0     1   1    0   0    37   7373
  0    0    0   1   0   -8    13    0   0   0    -1   1    0   0    38   6307
  0    0    0   0   0    8   -11    0   0   0    -1  -1    0   0    39    182
  1    0    0  -1   0  -10     3    0   0   0     0  -1    0   0    40   6733
  1    0    0   1   0  -10     3    0   0   0     0  -1    0   0    41   6865
  1    0    0  -1   0  -18    16    0   0   0     1   0    0   0    42   7296
  1    0    0   1   0  -18    16    0   0   0     1   0    0   0    43   6364
  1   -2    0  -2   0  -18    16    0   0   0     1  -1    0   1    44     14
  1    2    0   2   0  -18    16    0   0   0     1  -1    0  -1    45     14
  1    0   -2   1   0   20   -21    0   0   0     0   1    1   0    46  14610
  0    0    0   0   0    0     1   -1   0   0    -1   0    0   0    47    780
  0    0    0   0   0    0     1    2   0   0    -1  -1    0   0    48    177
  0    0    0   0   0    0     1   -2   0   0    -5   3    0   0    49   5764
  0    0    0   1   0    0    -1    2   0   0    -6  -6   -3   3    50  37883
  0    0    0   0   0    0     0    2   0   0    -1   0    0   0    51    344
  0    0    0   0   0    0     2   -2   0   0    -4   0    0   0    52    390
  0    0    0   0   0    0     3   -2   0   0     1  -1    0   0    53    189
  0    0    0   0   0    0     4   -2   0   0     1   0    0  -1    54    124
  0    0    0   0   0    0     2   -3   0   0    -1   0    0   0    55    902
  0    0    0   0   0    0     2   -4   0   0     0   1    0   0    56   2882
  0    0    0   0   0    0     3   -4   0   0    -1   1    0   0    57    418
  0    0    0   0   0    0     2   -8   3   0     1  -4    2   0    58    183
  0    0    0   1   0    0    -4    8  -3   0     1   4    2  -1    58   6870
  0    0    0   1   0    0     4   -8   3   0    -1   3    2   1    60   6720
  0    0    0   0   0    0     6   -8   3   0     1  -4   -2  -1    61    183
  0    0    0   0   0    0     1    0  -3   0     1   0    0   0    62    489
  0    0    0   0   0    0     2    0  -3   0     1   0    0   0    63    209
  2    0   -2  -1   0    0    -2    0   3   0     1   0    0   1    64   4528
  2    0   -2   1   0    0    -2    0   3   0     2   0    0  -1    65  13630
  2    0   -2   0   0    0    -2    0   3   0     4   0    0   0    66  13563
  0    0    0   0   0    0     1    0  -2   0    -2   3    0   0    67    439
  0    0    0   0   0    0     2    0  -2   0     4   0    0   0    68    199
  2    0   -2  -1   0    0    -2    0   2   0    -5   0    0  -3    69 100130
  2    0   -2   1   0    0    -2    0   2   0     1   0    0   0    70   3288
  0    2   -2   1   0    0    -2    0   2   0     1   0    0   0    71   1642
  2    0   -2   0   0    0    -2    0   2   0     4   0    0   0    72   6366
  0    0    0   0   0    0     3    0  -2   0     1  -1    0   0    73    129
  0    0    0   0   0    0     4    0  -2   0    -2   0    0   1    74     95
  0    0    0   0   0    0     1    0  -1   0   -16   0    0   0    75    399
  0    0    0   0   0    0     2    0  -1   0    -2   0    0   1    76    191
  0    0    0   0   0    0     3    0  -1   0     5   1    0  -2    77    125
  0    0    0   0   0    0     0    0   1   0    -1  -1   -1   0    78   4333
  0    0    0   1   0    0     0    0   1   0     0  -1    0   0    79  11945
  0    0    0   0   0    0     1    0   1   0    -1   0    0   1    80    337
  0    0    0   0   0    0     2    0   1   0     2   0    0  -1    81    175
  0    0    0   0   0    0     0    0   2   0   -12   2    1   4    82   2166
  0    0    0   0   0    0     1    0   2   0     0  -1    0   0    83    313
  0    0    0   0   0    0     0    0   3   0    -1   0    0   0    84   1444
  0    0    0   0   0    0     1    0   0  -1    -1   0    0   0    85    378
